filename,sumber,nama_toko,tanggal_clean,tanggal_valid,nama_barang,jumlah_barang,harga_satuan,total_harga_item,kategori_harga,bulan,tahun,bulan_tahun,estimasi_laba_20
primer_0081.jpg,primer,Pt Deook Distribusindo Raya,2015-10-20,True,Sedaap Hie Coreng Ala Chef Bag 93Gk,3.0,2846.0,8538.0,Sangat Murah (<=5rb),10.0,2015.0,2015-10,1707.6000000000001
primer_0081.jpg,primer,Pt Deook Distribusindo Raya,2015-10-20,True,Fdodrtd Florioina Coco 3Soml Isi 12,1.0,8538.0,8538.0,Murah (5-20rb),10.0,2015.0,2015-10,1707.6000000000001
primer_0081.jpg,primer,Pt Deook Distribusindo Raya,2015-10-20,True,12Fcs,12.0,28500.0,342000.0,Sedang (20-50rb),10.0,2015.0,2015-10,68400.0
primer_0081.jpg,primer,Pt Deook Distribusindo Raya,2015-10-20,True,Foodrtd Colda Cappuccino 200Misi12,1.0,34800.0,34800.0,Sedang (20-50rb),10.0,2015.0,2015-10,6960.0
primer_0084.jpg,primer,Pt Denok Distribusindo Raya,2015-10-20,True,24Fcs,6.0,19500.0,117000.0,Murah (5-20rb),10.0,2015.0,2015-10,23400.0
primer_0084.jpg,primer,Pt Denok Distribusindo Raya,2015-10-20,True,Lala Anggur Cup 150,1.0,19500.0,19500.0,Murah (5-20rb),10.0,2015.0,2015-10,3900.0
primer_0084.jpg,primer,Pt Denok Distribusindo Raya,2015-10-20,True,Olala Jahgu Cup150Ml,24.0,38600.0,926400.0,Sedang (20-50rb),10.0,2015.0,2015-10,185280.0
primer_0084.jpg,primer,Pt Denok Distribusindo Raya,2015-10-20,True,1Fcs,45.0,775.0,34875.0,Sangat Murah (<=5rb),10.0,2015.0,2015-10,6975.0
primer_0084.jpg,primer,Pt Denok Distribusindo Raya,2015-10-20,True,Sdklin Liq Det Uidlet Junoo Sct 4Oml R7,21.0,775.0,16275.0,Sangat Murah (<=5rb),10.0,2015.0,2015-10,3255.0
primer_0085.jpg,primer,Tongtji,2025-10-13,True,Tong Tji Celup Jasmine Isi 15,3.0,5700.0,17100.0,Murah (5-20rb),10.0,2025.0,2025-10,3420.0
primer_0086.jpg,primer,2153288346,2015-10-20,True,Sedaap Hie Coreng Ala Chef Bag 936R,3.0,8538.0,25614.0,Murah (5-20rb),10.0,2015.0,2015-10,5122.8
primer_0086.jpg,primer,2153288346,2015-10-20,True,Sedaap Mee Cureng Bas 9Icr,3.0,30000.0,90000.0,Sedang (20-50rb),10.0,2015.0,2015-10,18000.0
primer_0086.jpg,primer,2153288346,2015-10-20,True,Fdodrtd Florioima Cock 3Soml Isi 12,12.0,570.0,6840.0,Sangat Murah (<=5rb),10.0,2015.0,2015-10,1368.0
primer_0090.jpg,primer,Pok Distribusindo Kaya,2015-10-20,True,Ckomoai Creadet Lehon9Oo Rag 38Ogr,12.0,8500.0,102000.0,Murah (5-20rb),10.0,2015.0,2015-10,20400.0
primer_0090.jpg,primer,Pok Distribusindo Kaya,2015-10-20,True,Ale Ale Nangga Cup 180,24.0,19500.0,468000.0,Murah (5-20rb),10.0,2015.0,2015-10,93600.0
primer_0090.jpg,primer,Pok Distribusindo Kaya,2015-10-20,True,24Fcs,1.0,19500.0,19500.0,Murah (5-20rb),10.0,2015.0,2015-10,3900.0
primer_0090.jpg,primer,Pok Distribusindo Kaya,2015-10-20,True,Liodishh Hana Jerurnipis Pouch 490 6,24.0,10706.0,256944.0,Murah (5-20rb),10.0,2015.0,2015-10,51388.8
primer_0090.jpg,primer,Pok Distribusindo Kaya,2015-10-20,True,Foodrtd Floridina Coci 3So Ist 12,1.0,30000.0,30000.0,Sedang (20-50rb),10.0,2015.0,2015-10,6000.0
primer_0094.jpg,primer,Ft Depok Tistribusindo Raya,2015-10-20,True,Sukses Mie Soreng Ayan Krenes Bag 133R,1.0,30000.0,30000.0,Sedang (20-50rb),10.0,2015.0,2015-10,6000.0
primer_0094.jpg,primer,Ft Depok Tistribusindo Raya,2015-10-20,True,Foodrtd Flortdina Cocd 3Soi Ist12,12.0,94000.0,1128000.0,Mahal (50-100rb),10.0,2015.0,2015-10,225600.0
primer_0095.jpg,primer,Pt Depok Distribusindo Raya,2015-10-20,True,Kopi Top Gula Arer220R15,90.0,1680.0,151200.0,Sangat Murah (<=5rb),10.0,2015.0,2015-10,30240.0
primer_0095.jpg,primer,Pt Depok Distribusindo Raya,2015-10-20,True,Sedaaf Mie Goreng Bag 91Cr,10.0,284590.0,2845900.0,Sangat Mahal (>100rb),10.0,2015.0,2015-10,569180.0
primer_0095.jpg,primer,Pt Depok Distribusindo Raya,2015-10-20,True,Foudrtd Isoplus Coco Tl 35Onl Is112,12.0,28500.0,342000.0,Sedang (20-50rb),10.0,2015.0,2015-10,68400.0
primer_0095.jpg,primer,Pt Depok Distribusindo Raya,2015-10-20,True,12Fcs,1.0,34800.0,34800.0,Sedang (20-50rb),10.0,2015.0,2015-10,6960.0
primer_0095.jpg,primer,Pt Depok Distribusindo Raya,2015-10-20,True,10Fcs,1.0,2325.0,2325.0,Sangat Murah (<=5rb),10.0,2015.0,2015-10,465.0
primer_0095.jpg,primer,Pt Depok Distribusindo Raya,2015-10-20,True,Potadee Resular Dbq Deef 1Sgr Rencens,10.0,16000.0,160000.0,Murah (5-20rb),10.0,2015.0,2015-10,32000.0
primer_0095.jpg,primer,Pt Depok Distribusindo Raya,2015-10-20,True,Putapee Regular Crld Seaneedlscr Remceng,1.0,16398.0,16398.0,Murah (5-20rb),10.0,2015.0,2015-10,3279.6000000000004
primer_0096.jpg,primer,Tong,2026-01-19,True,Tong Tji Celup Jasmine Tanpa Amplop,10.0,9350.0,93500.0,Murah (5-20rb),1.0,2026.0,2026-01,18700.0
primer_0099.jpg,primer,Pt.Lancar Wiguna Sejahtera,2026-04-11,True,Me-0 Ktn Tna80G,2.0,8500.0,17000.0,Murah (5-20rb),4.0,2026.0,2026-04,3400.0
primer_0099.jpg,primer,Pt.Lancar Wiguna Sejahtera,2026-04-11,True,Lw Tas Kecil,1.0,3500.0,3500.0,Sangat Murah (<=5rb),4.0,2026.0,2026-04,700.0
primer_0101.jpg,primer,Pt Depok Distribusindo Raya,2015-10-20,True,Erondmi Cream Det Lehonso0 Bag 145Gr,5.0,1700.0,8500.0,Sangat Murah (<=5rb),10.0,2015.0,2015-10,1700.0
primer_0101.jpg,primer,Pt Depok Distribusindo Raya,2015-10-20,True,Foodrtd Kopi Nonckrong 15Oml.Is24,1.0,19500.0,19500.0,Murah (5-20rb),10.0,2015.0,2015-10,3900.0
primer_0101.jpg,primer,Pt Depok Distribusindo Raya,2015-10-20,True,1Fcs,90.0,204586.0,18412740.0,Sangat Mahal (>100rb),10.0,2015.0,2015-10,3682548.0
primer_0101.jpg,primer,Pt Depok Distribusindo Raya,2015-10-20,True,24P03,1.0,84650.0,84650.0,Mahal (50-100rb),10.0,2015.0,2015-10,16930.0
primer_0101.jpg,primer,Pt Depok Distribusindo Raya,2015-10-20,True,1Fcs,3.0,270967.0,812901.0,Sangat Mahal (>100rb),10.0,2015.0,2015-10,162580.2
primer_0101.jpg,primer,Pt Depok Distribusindo Raya,2015-10-20,True,12Cs,1.0,34800.0,34800.0,Sedang (20-50rb),10.0,2015.0,2015-10,6960.0
