Nama File,Model,Item Asli (GT),Item Terbaca,Total Harga Asli (GT),Total Harga Terbaca,Akurasi Item (%),Akurasi Harga (%),Status
primer_0114.jpg,Paddle,6,8,2490500,29866,66.67,1.2,Sebagian (Terekstrak tapi ada miss)
primer_0114.jpg,Tesseract,6,1,2490500,500,16.67,0.02,Sebagian (Terekstrak tapi ada miss)
primer_0114.jpg,EasyOCR,6,2,2490500,35500,33.33,1.43,Sebagian (Terekstrak tapi ada miss)
primer_0116.jpg,Paddle,2,3,24200,24200,50.0,100.0,Sebagian (Terekstrak tapi ada miss)
primer_0116.jpg,Tesseract,2,3,24200,17200,50.0,71.07,Sebagian (Terekstrak tapi ada miss)
primer_0116.jpg,EasyOCR,2,3,24200,61018,50.0,0.0,Sebagian (Terekstrak tapi ada miss)
primer_0067.jpg,Paddle,11,11,168600,68000,100.0,40.33,Sebagian (Terekstrak tapi ada miss)
primer_0067.jpg,Tesseract,11,0,168600,0,0.0,0.0,Gagal Total (0%)
primer_0067.jpg,EasyOCR,11,0,168600,0,0.0,0.0,Gagal Total (0%)
primer_0071.jpg,Paddle,10,34,392500,373000,0.0,95.03,Sebagian (Terekstrak tapi ada miss)
primer_0071.jpg,Tesseract,10,30,392500,304716,0.0,77.63,Sebagian (Terekstrak tapi ada miss)
primer_0071.jpg,EasyOCR,10,1,392500,3250,10.0,0.83,Sebagian (Terekstrak tapi ada miss)
primer_0081.jpg,Paddle,7,587,451389,421806,0.0,93.45,Sebagian (Terekstrak tapi ada miss)
primer_0081.jpg,Tesseract,7,2,451389,1300,28.57,0.29,Sebagian (Terekstrak tapi ada miss)
primer_0081.jpg,EasyOCR,7,1,451389,1299,14.29,0.29,Sebagian (Terekstrak tapi ada miss)
primer_0082.jpg,Paddle,1,0,87000,0,0.0,0.0,Gagal Total (0%)
primer_0082.jpg,Tesseract,1,181141775,87000,1001,0.0,1.15,Sebagian (Terekstrak tapi ada miss)
primer_0082.jpg,EasyOCR,1,0,87000,0,0.0,0.0,Gagal Total (0%)
primer_0096.jpg,Paddle,1,10,93500,93500,0.0,100.0,Sebagian (Terekstrak tapi ada miss)
primer_0096.jpg,Tesseract,1,363,93500,1018,0.0,1.09,Sebagian (Terekstrak tapi ada miss)
primer_0096.jpg,EasyOCR,1,1,93500,93500,100.0,100.0,Sempurna (100%)
primer_0099.jpg,Paddle,2,3,19900,20500,50.0,96.98,Sebagian (Terekstrak tapi ada miss)
primer_0099.jpg,Tesseract,2,4,19900,26600,0.0,66.33,Sebagian (Terekstrak tapi ada miss)
primer_0099.jpg,EasyOCR,2,4,19900,22472,0.0,87.08,Sebagian (Terekstrak tapi ada miss)
primer_0108.jpg,Paddle,3,3,66900,40000,100.0,59.79,Sebagian (Terekstrak tapi ada miss)
primer_0108.jpg,Tesseract,3,3,66900,67360,100.0,99.31,Sebagian (Terekstrak tapi ada miss)
primer_0108.jpg,EasyOCR,3,1,66900,1182,33.33,1.77,Sebagian (Terekstrak tapi ada miss)
primer_0109.jpg,Paddle,1,2,10700,107000,0.0,0.0,Sebagian (Terekstrak tapi ada miss)
primer_0109.jpg,Tesseract,1,0,10700,0,0.0,0.0,Gagal Total (0%)
primer_0109.jpg,EasyOCR,1,1,10700,10700000,100.0,0.0,Sebagian (Terekstrak tapi ada miss)
primer_0111.jpg,Paddle,1,1,14500,1,100.0,0.01,Sebagian (Terekstrak tapi ada miss)
primer_0111.jpg,Tesseract,1,0,14500,0,0.0,0.0,Gagal Total (0%)
primer_0111.jpg,EasyOCR,1,1,14500,4441,100.0,30.63,Sebagian (Terekstrak tapi ada miss)
primer_0117.jpg,Paddle,7,5,86500,45000,71.43,52.02,Sebagian (Terekstrak tapi ada miss)
primer_0117.jpg,Tesseract,7,813,86500,1937,0.0,2.24,Sebagian (Terekstrak tapi ada miss)
primer_0117.jpg,EasyOCR,7,5,86500,341000,71.43,0.0,Sebagian (Terekstrak tapi ada miss)
